id_2	invicta_1985	invicta_1995	invicta_2005	invicta_2015	invicta_2023	nf_veg_1985	area_veg_1985	nf_veg_1995	area_veg_1995	nf_veg_2005	area_veg_2005	nf_veg_2015	area_veg_2015	nf_veg_2022	area_veg_2022	nf_urb_1985	area_urb_1985	nf_urb_1995	area_urb_1995	nf_urb_2005	area_urb_2005	nf_urb_2015	area_urb_2015	nf_urb_2022	area_urb_2022
1021	0	12	14	16	17	102	6849094	123	7562810	143	8278921	204	8803166	254	9735816	127	2869002	30	1174081	38	1569297	20	1634619	32	1719796
1023	0	0	0	0	0	356	8536071	373	7370776	362	7822445	445	9878276	408	10093855	113	1227834	28	1772067	16	2441686	22	2669547	26	3014630
1024	0	0	0	0	1	204	34457032	265	31820653	221	33225694	257	35721605	258	34619154	13	120758	3	126464	2	180313	6	289654	4	292911
1071	0	0	0	0	0	188	7802191	155	5863833	180	5985768	217	6065153	223	6700996	12	430261	9	598238	9	1004312	6	1221553	8	1416228
1072	0	0	0	0	0	22	247957	10	135626	13	128966	15	178884	18	170561	0	0	0	0	0	0	0	0	1	2496
1073	0	2	2	3	3	70	4191274	61	4462281	111	5287708	76	5627507	67	5692182	5	128459	5	425985	6	590080	5	784011	8	910812
1074	0	0	4	6	6	172	2387884	93	1429936	63	920854	163	2344985	169	2075192	156	15855678	90	29006610	65	38928793	78	41461036	77	42975902
1075	0	4	5	7	7	253	28874251	256	31108047	277	29921778	321	32031430	320	30512511	85	5088492	36	7581443	33	10210743	45	11305685	53	11741073
1124	0	1	1	1	1	218	27498041	205	25932107	215	25253659	264	26262570	269	26826566	7	43179	9	298977	13	259943	4	44011	8	61454
1125	0	0	0	0	0	297	13721562	330	15438963	271	13640505	372	14417170	376	14566902	10	78553	2	57885	6	85174	8	130662	10	146374
1126	0	0	0	1	5	276	31158527	295	31520760	273	28374280	344	29266911	348	28527780	29	498943	28	879340	57	2413279	83	3437509	77	3994049
1127	4	4	4	4	4	184	32377186	219	29814998	199	29762452	223	31973111	240	30971306	37	507440	29	759143	40	1078025	42	2157742	98	2240540
1176	0	0	0	1	8	525	13489807	436	13224362	450	12011148	544	12911371	572	13762595	1	5823	0	0	0	0	3	7489	2	19138
1177	0	0	0	1	1	309	8732412	275	7639527	282	6322186	263	6001593	328	6520329	1	13257	1	14085	2	14914	4	28178	2	17403
1178	0	0	0	0	0	220	45716863	290	44009413	315	42033847	389	39582833	382	38512452	0	0	0	0	7	28060	0	0	0	0
1179	0	0	0	1	171	279	34273719	343	32182569	298	29776240	346	30364751	350	29144802	89	4013242	76	6228137	45	9275439	50	10741076	56	11350671
1227	0	0	0	0	0	421	11255639	372	8807093	305	8420207	359	9170526	330	8884572	38	762210	2	35852	3	44191	5	34186	8	67538
1228	0	0	0	0	0	355	18306901	322	12649191	293	12523708	302	12815958	314	13231986	2	25744	8	171036	7	171890	5	151968	5	124575
1229	0	1	1	1	1	192	41081833	221	39833290	219	39045304	219	38437586	210	39324103	0	0	3	10752	4	21504	3	33910	2	40526
1230	0	0	0	0	2	229	35925029	291	33330463	348	26725907	427	26284626	490	26037830	0	0	0	0	0	0	0	0	1	6586
1231	0	0	0	0	0	23	16391367	16	16463511	19	16563524	19	16399546	23	16582363	40	658313	25	1165774	17	2532436	17	2960387	19	3044834
1277	0	0	0	0	0	6	213781	6	175905	9	171698	10	207048	6	164965	1	252489	3	318978	3	369476	5	607668	7	687626
1279	0	0	0	0	0	378	8116954	324	6405063	315	6490285	349	6299819	334	6358316	38	1110386	27	3223337	30	4101460	46	4672963	51	5307974
1280	0	0	0	0	0	309	8926689	318	8405001	397	9401742	455	10265434	427	10347786	6	67394	4	14980	0	0	2	9151	0	0
